"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"163","5314","#89V9R0YP","✨战魂✨","154","138","12","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"164","5312","#989LYGYQ","yohoyoclive","173","127","5","#2U00G8J0","Filipino Legend","XJp3CtBRdB4GbkvxxxJpAnBOCkL5SwB8qNc9feBg538"
"165","5311","#CCYGUG9R","しょう⚡","142","148","11","#902QRY0U","CanURevenge?❤","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"166","5311","#LQVYV8VJ","almghool","148","127","6","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"167","5311","#V298C0JU","DarK aNGeL","141","88","7","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"168","5311","#LLCC9QUL","SAEID.BABA","149","148","14","#2VR2YY0G","Kings Rock","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y"
"169","5310","#8GC0QC2P","峇株巴辖～美食72变","143","102","11","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"170","5310","#L0YRLGCV","thegreatfotini","189","140","5","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"171","5310","#2CU20U09","hsiu","179","83","11","#8VVC80L2","Glory中华•笑傲江湖","djta_9XDtHKA2UKp8ySWCPjy-Zr9Ad_8DHIW2rFIef0"
"172","5309","#QV8Q9CC0","Necro","149","109","22","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"173","5309","#QJQPPJ80","(![desperado]!)","165","182","15","NULL","NULL","NULL"
"174","5309","#PGC8PU9C","kucapi","160","84","18","#2L0VCUYU","AutoDrezz","GM8oUGe4-5iBaqYJYDcImI-iUPbnr_p3y_qzs8oqoy4"
"175","5309","#L9PJCYRY","hani achi","135","151","10","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"176","5308","#8PU0JVLG","roman","163","91","15","#2L0VCUYU","AutoDrezz","GM8oUGe4-5iBaqYJYDcImI-iUPbnr_p3y_qzs8oqoy4"
"177","5307","#9PP29CLJ","Tornado❌","169","116","16","#LGRUPQY","X-United","rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8"
"178","5307","#8GPQRQ0","ARAS DAYLAN","143","119","12","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
